Query,Refcode,LAB1,LAB2,DIST1,LOS,SHIELDING,SHIELD_ATOM
1,MANMUJ09,N5,O16,3.931,+,0.117,O6
1,MANMUJ09,N11,O4,3.588,-,-0.017,O16
1,MANMUJ09,N6,O11,3.276,+,0.296,C14
1,MANMUJ09,N11,O5,3.959,-,-0.581,O15
1,MANMUJ09,N6,O12,3.356,+,0.063,O9
1,MANMUJ09,N6,O13,3.449,-,-0.043,O8
1,MILQAC,N1,O1,3.484,-,-0.037,O6
1,MILQAC,N1,O4,3.383,-,-0.183,O6
1,MILQAC,N2,O2,3.787,+,0.038,O4
1,MILQAC,N2,O3,3.123,+,0.263,O3
1,MILQAC,N2,O5,3.182,+,0.307,O3
1,MILQAC,N3,O6,3.875,+,0.054,O1
1,MILQAC,N3,O3,3.748,-,-0.085,C1
1,MILQAC,N3,O5,3.855,-,-0.204,C1
1,MILQEG,N1,O6,3.859,-,-0.050,O2
1,MILQEG,N1,O1,3.052,+,0.261,C1
1,MILQEG,N1,O2,3.879,-,-0.261,N1
1,MILQEG,N1,O3,3.812,-,-0.428,O1
1,MILQEG,N1,O5,3.976,+,0.026,C1
1,MILQEG,N2,O6,3.801,-,-0.162,O4
1,MILQEG,N2,O1,3.659,-,-0.169,C1
1,MILQEG,N2,O2,3.408,+,0.126,O4
1,MILQEG,N2,O5,3.289,+,0.098,O3
1,MILQEG,N3,O6,3.259,+,0.228,N3
1,MILQEG,N3,O1,3.643,-,-0.207,C1
1,MILQEG,N3,O2,3.825,-,-0.025,O6
1,MILQEG,N3,O5,3.549,-,-0.002,N3
1,MILQIK,N2,O2,3.348,-,-0.005,O4
1,MILQIK,N2,O3,3.652,-,-0.256,C1
1,MILQIK,N1,O1E,3.985,-,-0.323,C1
1,MILQIK,N1,O1,3.049,+,0.253,O1
1,MILQIK,N1,O3,3.178,+,0.079,C1
1,MILQOQ,N2,O6,3.521,-,-0.003,O1
1,MILQOQ,N2,O1,3.933,-,-0.239,C1
1,MILQOQ,N2,O2,2.916,+,0.341,O1
1,MILQOQ,N3,O2,3.984,-,-0.015,O5
1,MILQOQ,N1,O1,3.026,+,0.253,O2
1,MILQOQ,N1,O2,3.696,-,-0.243,O3
1,MILQOQ,N1,O2,3.921,-,-0.278,C1
1,MILQOQ,N1,O3,2.929,+,0.366,O3
1,MILQOQ,N1,O4,3.896,-,-0.384,O2
1,MIMPOQ,N2,O3,3.834,-,-0.094,C9
1,MIPMUW,N1,O3,3.085,+,0.320,C4
1,MIPMUW,N1,O4,3.698,-,-0.163,N2
1,MIPMUW,N2,O1,3.173,+,0.281,N1
1,MIPMUW,N2,O2,3.624,-,-0.100,N1
1,MIPMUW,N2,O2,3.895,-,-0.026,C10
1,MIPMUW,N2,O3,2.979,+,0.171,O3
1,MIPZET,N4,O3,3.186,+,0.221,O2
1,MIPZET,N4,O4,3.345,+,0.096,O1
1,MIPZET,N4,O5,3.985,-,-1.056,O2
1,MIPZET,N5,O1,3.567,-,-0.100,O4
1,MIPZET,N5,O2,3.045,+,0.328,O3
1,MIPZIX,N4,O2,3.335,+,0.318,O2
1,MIPZIX,N4,O2,3.977,-,-0.094,O2
1,MIPZIX,N4,O4,3.372,+,0.061,O3
1,MIPZIX,N4,O1,3.939,-,-0.988,O3
1,MIPZIX,N5,O2,3.633,+,0.069,O4
1,MIPZIX,N5,O1,3.290,+,0.015,C2
1,MIPZOD,N4,O2,3.180,+,0.094,C3
1,MIPZOD,N4,O2,3.569,-,-0.239,O2
1,MIPZOD,N4,O3,3.665,+,0.106,O2
1,MIPZOD,N4,O4,3.691,-,-0.034,N5
1,MIPZOD,N4,O5,3.766,-,-0.262,C3
1,MIPZOD,N5,O2,3.617,-,-0.265,C3
1,MIPZOD,N5,O3,3.843,-,-0.174,N4
1,MIPZOD,N5,O4,3.796,+,0.122,N5
1,MIPZOD,N5,O4,3.912,+,0.025,N5
1,MIPZOD,N5,O5,3.314,+,0.097,C3
1,MIQHAY,N1,O3,3.113,+,0.070,C4
1,MIQHAY,N1,O5,3.238,-,-0.002,C4
1,MIQHAY,N2,O3,3.797,-,-0.014,O5
1,MIQHAY,N2,O5,2.854,+,0.282,C6
1,MIQHAY,N2,O5,3.643,-,-0.109,O5
1,MIQHAY,N2,O6,3.664,-,-0.018,O5
1,MIRMUY,N2,O5,3.963,-,-1.024,O4
1,MISWOD,N3,O3,3.360,-,-0.011,O2
1,NBZOAC17,N1,O2,3.287,+,0.107,O3
1,NBZOAC18,N1,O3,3.480,-,-0.078,O4
1,NBZOAC18,N1,O3,3.969,-,-0.564,O3
1,NBZOAC18,N1,O4,2.951,+,0.397,O3
1,NBZOAC18,N1,O4,3.562,-,-0.151,O3
1,NBZOAC19,N1,O3,3.289,-,-0.015,O4
1,NBZOAC19,N1,O3,3.997,-,-0.446,O4
1,NBZOAC19,N1,O4,3.096,+,0.345,C4
1,NBZOAC19,N1,O4,3.634,-,-0.335,O3
1,NIKLOL,N1,O5,3.991,-,-0.723,O1
1,NIKLOL,N1,O7,3.219,+,0.385,C1
1,NIKLOL,N3,O1,3.503,-,-0.171,O5
1,NIKLOL,N3,O2,3.519,+,0.155,O6
1,NIKLOL,N3,O3,3.574,-,-0.087,O6
1,NIKLOL,N4,O4,3.558,+,0.022,O8
1,NIKLOL,N2,O8,3.370,+,0.175,O4
1,NIKYEO,N2,O4,3.866,-,-0.465,O1
1,NIKYEO01,N2,O4,3.889,-,-0.498,O1
1,NILCET,N15,O1,3.550,+,0.037,O14
1,NILCET,N15,O12,3.968,+,0.178,O14
1,NILCET,N15,O4,3.239,-,-0.076,O14
1,NILCET,N15,O5,3.745,-,-0.264,O13
1,NILCET,N15,O8,3.557,-,-0.254,C7
1,NILCET,N15,O9,2.979,+,0.098,C7
1,NILCET,N15,O9,3.758,-,-0.452,O14
1,NILCET,N16,O1,3.168,+,0.209,O16
1,NILCET,N16,O11,3.257,+,0.225,O15
1,NILCET,N16,O12,3.380,+,0.126,C8
1,NILCET,N16,O2,3.192,+,0.188,O15
1,NILCET,N16,O6,3.929,-,-0.703,O15
1,NILZIU,N1,O3,2.978,+,0.292,O1
1,NIMXUF,N5,O3,3.383,-,-0.034,O2
1,NIMXUF,N5,O4,3.065,+,0.260,O1
1,NIMXUF,N5,O5,3.276,+,0.339,O1
1,NIMXUF,N5,O5,3.719,-,-0.239,O2
1,NIMXUF,N6,O2,3.380,-,-0.032,O3
1,NIMXUF,N6,O1,3.071,+,0.259,O4
1,NIMZIV,N1,O3,3.476,+,0.121,O2
1,NIMZIV,N2,O1,3.412,+,0.133,O4
1,NIMZIV,N1,O4,3.642,-,-0.058,O1
1,NIMZIV,N2,O2,3.710,-,-0.077,O3
1,NIMZIV,N2,O2,3.997,-,-0.140,O4
1,NINBIY,N1,O4,3.842,-,-0.137,O5
1,NINBIY,N1,O6,3.388,+,0.131,C21
1,NINJUS,N1,O1,3.670,+,0.321,O1
1,NINJUS,N1,O2,3.843,+,0.071,O1
1,NINVOY,N2,O5,3.154,+,0.044,O5
1,NINYUH,N3,O5,3.152,+,0.187,O4
1,NINYUH,N3,O9,3.658,+,0.055,O3
1,NINYUH,N9,O1,3.167,+,0.137,O12
1,NINYUH,N9,O1,3.571,+,0.105,O11
1,NINYUH,N3,O6,3.661,+,0.148,O4
1,NINYUH,N6,O10,3.009,+,0.343,C19
1,NINYUH,N6,O2,3.330,+,0.330,O8
1,NIPXUI,N3,O2,3.332,+,0.100,O7
1,NIPXUI,N3,O5,3.756,-,-0.341,O6
1,NIQTOZ,N3,O4,3.281,+,0.071,C27
1,NIQTOZ,N3,O5,3.803,-,-0.100,N4
1,NIQTOZ,N3,O8,3.853,+,0.162,C27
1,NIQTOZ,N4,O2,3.979,-,-0.264,N3
1,NIQTOZ,N4,O3,3.317,+,0.302,N3
1,NIQTOZ,N4,O9,3.543,-,-0.209,O4
1,NIQTOZ,N8,O4,3.661,-,-0.323,O9
1,NTCPOL02,N1,O2,3.278,+,0.036,O3
1,OHUJOQ01,N1,O1,3.578,+,0.095,O2
1,OHUJOQ01,N1,O2,3.730,-,-0.156,C1
1,OHUJOQ01,N1,O2,3.817,-,-0.116,O1
1,PIJFIA,N2,O5,3.343,+,0.118,O3
1,PIJFIA,N4,O3,3.169,+,0.258,O5
1,PINPEK,N1,O6,3.668,-,-0.152,O1
1,PINPEK01,N4,O10,3.328,-,-0.026,O3
1,PINSEN,N3,O3,3.328,+,0.070,O3
1,PIPGON,N4,O1,3.143,+,0.084,C1
1,PIPGON,N2,O4,3.494,+,0.069,O1
1,PITFOQ,N3,O1A,3.680,+,0.031,C3
1,PITFUW,N3,O1,3.843,-,-0.954,O1
1,PITFUW,N3,O1A,3.044,+,0.132,O1
1,PITFUW,N3,O2A,3.489,-,-0.119,N3
1,PITGAD,N5,O3,2.947,+,0.291,C1
1,PITGAD,N5,O4,3.649,+,0.101,O2
1,PITGAD,N5,O5,3.429,-,-0.114,O2
1,PITGAD,N6,O1,3.886,+,0.056,C3
1,PITGAD,N6,O1,3.938,-,-0.310,C3
1,PITGAD,N6,O2,3.773,-,-0.089,O3
1,PITGAD,N6,O3,3.946,-,-0.746,O3
1,PITGAD,N6,O6,3.354,+,0.031,C3
1,PITGAD,N7,O4,3.837,-,-0.074,O5
1,PITGAD,N7,O5,3.524,-,-0.045,C6
1,PITGAD,N7,O6,3.796,-,-0.181,N7
1,PITGEH,N5,O1,3.505,-,-0.108,C1
1,PITGEH,N5,O6,3.425,-,-0.047,C1
1,PITGEH,N5,O7,3.650,-,-0.332,O2
1,PITGEH,N6,O4,3.979,-,-0.385,O4
1,PITGEH,N6,O5,3.216,+,0.223,C3
1,PITGEH,N6,O7,3.872,+,0.003,C3
1,PITGEH,N7,O3,3.879,+,0.105,O5
1,PITGEH,N7,O7,3.129,+,0.189,C4
1,PITGEH,N7,O8,3.976,-,-0.699,O5
1,PITGEH,N8,O2,2.911,+,0.312,O7
1,PITGEH,N8,O3,3.932,-,-0.271,C6
1,PITGEH,N8,O5,3.011,+,0.243,O8
1,PITGIL,N5,O3,3.526,-,-0.078,C1
1,PITGIL,N5,O8,3.858,-,-0.444,O2
1,PITGIL,N5,O8,3.878,-,-0.358,O2
1,PITGIL,N6,O1,3.929,-,-0.750,O4
1,PITGIL,N6,O5,3.373,+,0.076,O4
1,PITGIL,N6,O6,3.791,-,-0.189,O3
1,PITGIL,N7,O2,2.971,+,0.294,C4
1,PITGIL,N7,O4,3.448,+,0.096,C4
1,PITGIL,N7,O6,3.580,-,-0.116,O8
1,PITGIL,N8,O3,3.558,+,0.022,O6
1,PITGIL,N8,O4,3.841,-,-0.361,O5
1,PITGIL,N8,O5,3.378,+,0.015,C6
1,PITGIL,N8,O6,3.803,-,-0.109,O5
1,PITGIL,N8,O7,3.186,+,0.137,C6
1,PITGIL,N8,O8,3.756,-,-0.282,O6
1,PITJIO,N3,O2,3.625,-,-0.332,O2
1,PITJIO,N3,O3,2.873,+,0.319,O2
1,PIVJUC,N1,O1,3.429,+,0.138,C3
1,PIVJUC,N1,O2,3.903,+,0.094,O1
1,PIZWIH,N1,O3,3.204,+,0.369,O1
1,QAXMEH32,N2,O1,3.848,+,0.047,C4
1,QAXMEH32,N2,O2,3.655,+,0.020,C4
1,QAXMEH33,N3,O1,3.114,+,0.103,O1
1,QAXMEH48,N3,O1,3.184,+,0.091,O1
1,QAXMEH49,N3,O1,3.102,+,0.101,O1
1,QAXMEH50,N3,O1,3.102,+,0.098,O1
1,QAXMEH51,N3,O1,3.103,+,0.094,O1
1,QIJPEH,N6,O4,3.930,-,-0.865,O4
1,QIJPEH,N6,O5,3.698,-,-0.341,O5
1,QIJPEH,N6,O8,3.216,-,-0.006,O4
1,QIJPEH,N6,O9,3.783,-,-0.744,O4
1,QIJPEH,N6,O9,3.787,-,-0.168,Na2
1,QIJPEH,N6,O11,3.076,+,0.129,C4
1,QIJPEH,N6,O12,3.946,-,-0.120,N11
1,QIJPEH,N7,O8,3.267,+,0.076,O6
1,QIJPEH,N7,O11,3.771,-,-0.442,C4
1,QIJPEH,N7,O13,3.216,+,0.338,O6
1,QIJPEH,N11,O4,3.652,+,0.128,N6
1,QIJPEH,N11,O5,3.786,-,-0.176,O11
1,QIJPEH,N12,O6,3.613,+,0.018,O13
1,QIJPIL,N6,O6,3.427,+,0.113,O5
1,QIJPIL,N6,O7,3.077,+,0.050,K2
1,QIJPIL,N6,O8,3.485,-,-0.047,O5
1,QIJPIL,N7,O4,3.835,-,-0.289,K2
1,QIJPIL,N7,O5,3.438,+,0.098,O6
1,QIJPIL,N7,O7,3.140,+,0.017,C4
1,QIJPIL,N7,O8,3.102,+,0.115,O7
1,QIJPIL,N7,O9,3.166,+,0.221,O6
1,QIJPIL,N11,O1,3.679,-,-0.054,O12
1,QIJPIL,N11,O2,3.639,-,-0.204,C7
1,QIJPIL,N11,O12,3.980,-,-0.375,C7
1,QIJPIL,N11,O13,3.526,-,-0.074,N12
1,QIJPIL,N11,O14,3.146,+,0.056,K1
1,QIJPIL,N12,O2,3.030,+,0.272,C7
1,QIJPIL,N12,O11,3.541,-,-0.278,K1
1,QIJPIL,N12,O12,3.088,+,0.279,N11
1,QIJPOR,N6,O11,3.584,+,0.037,N11
1,QIJPOR,N6,O12,3.731,-,-0.099,N11
1,QIJPOR,N6,O14,3.667,-,-0.289,C4
1,QIJPOR,N7,O1,3.286,+,0.077,O6
1,QIJPOR,N7,O13,3.818,-,-0.204,N12
1,QIJPOR,N7,O14,3.018,+,0.243,C4
1,QIJPOR,N11,O4,3.370,+,0.054,C7
1,QIJPOR,N11,O5,3.532,+,0.082,N6
1,QIJPOR,N12,O2,3.960,-,-0.543,O13
1,QIJPOR,N12,O4,3.871,-,-0.353,C7
1,QIJPOR,N12,O6,3.098,+,0.385,N7
1,QIJPOR,N12,O7,3.898,-,-0.296,N7
1,QIJPUX,N18,O4,3.139,+,0.182,C11
1,QIJPUX,N6,O18,3.286,+,0.111,O5
1,QIJPUX,N18,O5,3.490,-,-0.075,O18
1,QIJPUX,N6,O19,3.891,-,-0.254,N18
1,QIJPUX,N7,O1,2.980,+,0.273,O6
1,QIJPUX,N19,O4,3.825,-,-0.395,C11
1,QIJPUX,N19,O6,3.745,+,0.087,N7
1,QIJPUX,N7,O20,3.896,-,-0.031,N19
1,QIJPUX,N19,O7,3.913,-,-0.052,N7
1,QIJPUX,N7,O21,3.596,+,0.222,N19
1,QIJPUX,N11,O25,3.267,+,0.052,C7
1,QIJPUX,N23,O11,3.713,+,0.105,O26
1,QIJPUX,N11,O26,3.919,-,-0.085,O11
1,QIJPUX,N23,O13,3.208,+,0.306,C14
1,QIJPUX,N24,O22,3.117,+,0.206,O27
1,QIJPUX,N12,O25,3.348,-,-0.006,C7
1,QIJPUX,N12,O13,3.328,+,0.112,O13
1,QIJPUX,N12,O27,3.627,+,0.228,O14
1,QIJPUX,N24,O13,3.762,-,-0.117,C14
1,QIJPUX,N24,O14,3.999,-,-0.102,O27
1,QINPAH,N2,O3,3.190,+,0.297,O3
1,QIPMAG,N4,O12,3.662,+,0.091,C8
1,QIPMAG,N4,O6,3.338,+,0.395,C8
1,QIPMAG,N2,O5,3.686,-,-0.129,O5
1,QIPMAG,N2,O14,3.696,+,0.092,O4
1,QIPMAG,N6,O3,3.683,+,0.297,O13
1,QIPMAG,N3,O4,3.769,+,0.328,C6
1,QIPMAG,N6,O11,3.640,+,0.117,C12
1,QIPMEK,N2,O2,3.601,+,0.213,C10
1,QIPMEK,N3,O3,3.824,+,0.100,C11
1,QIPMEK,N3,O6,3.838,+,0.115,O7
1,QIPMEK,N1,O5,3.868,+,0.144,O2
1,QIPMIO,N2,O3,4.000,+,0.137,C9
1,QIPMIO,N2,O4,3.233,+,0.299,C9
1,QIPMIO,N3,O2,3.474,+,0.262,C10
1,QIPMOU,N1,O5,3.691,+,0.144,O2
1,QIPMOU,N2,O6,3.875,+,0.122,C3
1,QIPMOU,N2,O1,3.573,+,0.227,O3
1,QIPRAL,N5,O2,3.885,-,-0.101,O13
1,QIPRAL,N2,O12,3.999,-,-0.323,O5
1,QIPRAL,N5,O4,3.958,-,-0.295,O13
1,QIPRAL,N2,O13,3.103,+,0.216,O5
1,QIPRAL,N5,O5,3.079,+,0.260,O13
1,QIPRAL,N6,O3,3.985,-,-0.392,O14
1,QIPRAL,N3,O14,3.930,-,-0.063,O7
1,QIPRAL,N3,O15,3.588,+,0.385,O6
1,QIPRAL,N6,O7,3.897,-,-0.002,O14
1,QIPRAL,N1,O10,3.897,-,-0.169,N4
1,QIPRAL,N1,O11,3.186,+,0.105,C2
1,QIPRAL,N4,O3,3.611,+,0.085,N1
1,QIPRAL,N1,O14,3.579,-,-0.015,O3
1,QIPRAL,N4,O6,3.279,+,0.352,O11
1,QIQHOQ,N3,O2,3.158,+,0.120,O2
1,QIQHOQ,N4,O5,3.680,-,-0.061,C5
1,QIRNUD,N5,O2,3.159,+,0.137,O7
1,QIRNUD,N5,O5,3.816,-,-0.584,O7
1,QIRNUD,N3,O2,3.803,-,-0.169,O3
1,QIRNUD,N3,O3,3.096,+,0.409,O3
1,QIRNUD,N3,O6,3.615,-,-0.095,O2
1,QIRNUD,N3,O7,3.800,-,-0.458,O2
1,QIRNUD,N4,O5,3.360,-,-0.279,O5
1,QIRNUD,N4,O7,3.100,+,0.410,O4
1,QIRNUD,N4,O7,3.924,-,-0.726,O5
1,QIRPAL,N1,O1,3.788,-,-0.207,N1
1,QIRPAL,N1,O2,3.108,+,0.318,C1
1,QIRPAL,N1,O5,3.914,-,-0.385,O1
1,QIRPAL,N2,O1,3.831,-,-0.302,O5
1,QIRPAL,N2,O4,3.420,+,0.076,O4
1,QIRPEP,N1,O1,3.367,+,0.152,O2
1,QIRPEP,N1,O2,3.538,+,0.007,O1
1,QIRPEP,N1,O4,3.917,+,0.009,O2
1,QIRPEP,N2,O3,3.145,+,0.183,O4
1,QIRPEP,N2,O4,3.550,-,-0.008,O4
1,QIRPEP,N2,O4,3.587,-,-0.199,O3
1,QIRXEX,N6,O15,3.401,+,0.312,O11
1,QIRXEX,N8,O11,3.636,+,0.072,O16
1,QIRXEX,N6,O16,3.749,-,-0.037,O11
1,QISZEA,N3,O2,3.102,+,0.252,C4
1,QISZIE,N3,O1,3.167,+,0.289,C4
1,QISZIE,N3,O2,3.777,-,-0.113,O3
1,QISZOK,N3,O3,3.659,+,0.015,O4
1,QISZOK,N3,O3,3.905,-,-0.578,O3
1,QISZOK,N3,O4,3.036,+,0.334,C4
1,QISZOK,N3,O4,3.763,-,-0.076,O3
1,QITDAB,N3,O2,3.086,+,0.163,C10
1,QITDIJ,N3,O2,3.891,+,0.038,S1
1,QITDIJ,N3,O3,3.459,+,0.040,C11
1,QITDOP,N3,O3,3.873,+,0.147,O5
1,RINSAL,N4,O1,3.030,+,0.205,C24
1,RINSAL,N4,O5,3.654,+,0.042,O7
1,RIPYOH,N1,O7,3.889,-,-0.156,O3
1,RIPYOH,N2,O4,3.486,+,0.403,N2
1,RIPYOH,N3,O3,3.725,+,0.002,O7
1,RIQGAC,N2,O1,3.119,+,0.256,O3
1,RIQGAC,N2,O2,2.941,+,0.210,C14
1,RIQGEG,N2,O2,2.968,+,0.261,O3
1,RIQGEG,N2,O5,3.646,-,-0.198,O2
1,RIQGEG,N2,O3,3.320,-,-0.032,O2
1,RIQGIK,N3,O1,3.908,-,-0.299,O3
1,RIQGIK,N2,O2,3.659,+,0.038,C10
1,RIRFAC,N1,O5,3.301,+,0.285,C6
1,RIRFAC,N2,O2,3.831,+,0.112,O5
1,RIRFAC,N1,O6,3.286,+,0.283,C6
1,RIRFAC,N2,O3,3.862,+,0.032,O6
1,RISDAB,N2,O4,3.685,+,0.055,O4
1,RISDAB,N2,O6,3.692,+,0.066,O4
1,RISDAB,N3,O4,3.961,-,-0.180,O6
1,RISDAB,N4,O3,3.970,+,0.047,O8
1,RISDOP,N2,O7,3.776,+,0.073,C23
1,RISDOP,N2,O8,3.632,-,-0.124,O4
1,RISDOP,N4,O4,3.365,+,0.105,O8
1,RISDOP,N4,O5,3.885,-,-0.004,O8
1,RISFEH,N2,O4,3.492,-,-0.075,C21
1,RISFEH,N2,O5,3.685,+,0.068,O3
1,RISFEH,N2,O6,3.929,-,-0.246,O2
1,RISFEH,N3,O3,3.277,+,0.400,O5
1,RISFEH,N4,O2,3.226,+,0.122,O7
1,RISFEH,N4,O3,3.906,+,0.249,N2
1,RITYIF,N3,O2,3.800,+,0.152,O3
1,RITYOL,N4,O5,3.648,+,0.053,O4
1,RITYOL,N7,O10,3.960,+,0.016,O10
1,RIVLUG,N3,O4,3.906,+,0.192,O6
1,RIVLUG,N3,O1,3.503,+,0.112,C9
1,RIVMAN,N4,O5,3.473,+,0.160,O5
1,RIVMER,N6,O6,3.192,+,0.226,C21
1,RIVMER,N6,O11,3.125,+,0.348,C16
1,RIWSEY,N2,O2,2.907,+,0.173,C20
1,RIWSEY,N3,O5,3.322,-,-0.040,N3
1,RIWSEY,N3,O6,2.929,+,0.266,C22
1,RIWYEE,N2,O4,3.990,-,-0.235,O3
1,RIWYEE,N2,O5,3.292,+,0.074,O2
1,RIWYEE,N2,O5,3.848,-,-0.197,O2
1,RIWYEE,N3,O1,3.389,+,0.249,O4
1,RIWYEE,N3,O2,3.310,+,0.057,O5
1,RIWYEE,N3,O3,3.467,+,0.113,O5
1,SASKOO01,N1,O4,3.934,-,-0.308,O2
1,SASKOO01,N1,O9,3.789,+,0.069,O2
1,SASKOO01,N1,O11,3.412,-,-0.070,O3
1,SASKOO01,N5,O11,3.566,+,0.310,O13
1,SASKOO01,N6,O2,3.208,+,0.308,O11
1,SASKOO01,N3,O3,3.631,+,0.134,O6
1,SASKOO01,N6,O3,3.703,-,-0.340,O11
1,SASKOO01,N3,O5,3.919,-,-0.217,O7
1,SASKOO01,N6,O10,3.976,-,-0.322,O12
1,SASKOO01,N6,O12,3.591,-,-0.392,O12
1,SASKOO01,N2,O13,3.616,+,0.188,O4
1,SASKOO01,N2,O2,3.240,+,0.319,O4
1,SASKOO01,N4,O2,3.754,-,-0.148,O10
1,SASKOO01,N4,O5,3.173,+,0.214,O10
1,SASKOO01,N2,O7,3.644,+,0.029,O5
1,SASKOO01,N4,O12,3.195,+,0.365,O10
1,SIWPUM,N6,O3,3.503,+,0.217,N7
1,SIWPUM,N6,O4,3.593,+,0.163,O2
1,SIWPUM,N6,O4,3.630,-,-0.070,O1
1,SIWPUM,N7,O1,3.392,+,0.140,O4
1,SIWPUM,N7,O2,3.317,+,0.217,C11
1,SIWPUM,N7,O2,3.884,-,-0.122,N6
1,SIZLUL,N1,O5,3.759,+,0.226,O2
1,SIZLUL,N3,O2,3.806,+,0.193,C20
1,SOBVAJ,N3,O2,3.618,-,-0.105,O3
1,SOBVAJ,N3,O3,3.367,+,0.111,O2
1,SOBZAN,N3,O1,3.790,+,0.005,C9
1,SOBZAN,N3,O2,3.979,-,-0.116,N3
1,TIMFAZ,N1,O2,3.174,+,0.265,C1
1,TIQLUD,N8,O2,3.726,+,0.063,O6
1,UFOVET,N6,O2,2.943,+,0.302,O1
1,UGAVUW01,N2,O5,3.581,-,-0.193,O1
1,UGAVUW01,N2,O6,2.850,+,0.346,O1
1,UGAVUW01,N2,O2,3.970,-,-0.114,O2
1,UGAVUW01,N2,O3,3.630,-,-0.264,O2
1,UGAVUW01,N2,O4,3.204,+,0.285,O1
1,UGAVUW01,N5,O1,3.332,+,0.178,O4
1,UGAVUW01,N5,O6,3.673,-,-0.262,C2
1,UGAVUW01,N5,O2,2.990,+,0.290,O3
1,UGAVUW01,N5,O4,3.969,-,-0.911,O3
1,UPETIU02,N1,O1A,3.128,+,0.369,C3
1,VELNUY,N2,O4,3.821,-,-0.268,O5
1,VELNUY,N2,O5,3.016,+,0.315,O5
1,VELPAG,N2,O2,3.133,+,0.339,C12
1,VIKBOJ,N2,O4,3.929,-,-0.136,C19
1,VILQEP,N3,O4,3.157,+,0.300,C18
1,VILQEP,N3,O5,3.911,+,0.169,C18
1,VILROA,N2,O2,3.987,-,-0.933,O2
1,VILRUG,N2,O2,3.563,-,-0.084,C4
1,VILRUG,N2,O3,3.874,-,-0.306,C4
1,VIMFAB,N2,O5,2.913,+,0.310,C4
1,VIMFEF,N2,O3,3.690,-,-0.137,C4
1,VIMFEF,N2,O4,3.800,+,0.219,O5
1,VIMFOP,N2,O1,3.699,-,-0.473,O1
1,VIMLUB,N1,O2,3.414,+,0.168,O1
1,VINZAW,N1,O1,3.006,+,0.348,O1
1,VINZAW,N1,O2,3.815,-,-0.219,O1
1,VIPMOZ,N2,O2,3.667,+,0.203,O3
1,VIPMOZ,N2,O3,3.399,-,-0.042,O3
1,VIPXIE,N2,O4,3.944,+,0.179,O3
1,VIPXOK,N2,O4,3.846,-,-0.122,O4
1,VIPXOK,N2,O1,3.413,+,0.198,C7
1,VIPXUQ,N2,O4,3.715,+,0.035,O4
1,VIQDAD,N1,O1,3.514,+,0.073,O1
1,VIQKUE,N1,O2,3.271,+,0.042,O2
1,VIQYUS,N1,O3,3.501,-,-0.008,N2
1,VIQYUS,N1,O4,3.434,+,0.055,N2
1,VIQYUS,N1,O4,3.945,-,-0.489,O1
1,VIQYUS,N2,O1,3.315,+,0.146,N1
1,VIQYUS,N2,O2,3.606,-,-0.107,N1
1,VIQZED,N1,O2,3.868,-,-0.270,C1
1,VIQZED,N1,O3,3.033,+,0.241,K1
1,VIQZED,N1,O4,3.787,-,-0.316,O2
1,VIQZED,N1,O9,2.808,+,0.266,O2
1,VIQZED,N2,O1,3.901,-,-0.250,N1
1,VIQZED,N2,O2,2.922,+,0.403,O3
1,VIQZED,N2,O3,3.918,-,-0.240,C1
1,VIQZED,N2,O9,3.808,-,-0.255,C1
1,VIRZAA,N1,O15,3.085,+,0.184,O8
1,VIRZAA,N2,O8,3.104,+,0.169,O15
1,VITHIS,N4,O3,3.284,+,0.221,C14
1,WAHZEM01,N1,O3,3.153,+,0.277,C4
1,WAHZEM01,N1,O4,3.983,-,-0.293,N1
1,WIJPUD,N2,O12,3.767,-,-0.103,O6
1,WIJPUD,N2,O13,3.853,-,-0.125,O6
1,WIJPUD,N5,O4,3.317,+,0.097,C7
1,WIJPUD,N5,O4,3.595,-,-0.237,O14
1,WIJPUD,N1,O14,3.523,-,-0.170,O4
1,WIJPUD,N1,O6,3.388,+,0.220,C2
1,WIJPUD,N4,O14,3.802,+,0.078,O12
1,WIJPUD,N4,O6,3.405,+,0.204,O12
1,WIJPUD,N3,O13,3.485,+,0.133,C4
1,WIJPUD,N3,O3,3.684,+,0.116,O5
1,WIJQOY,N6,O7,3.110,+,0.117,C4
1,WIJQOY,N6,O2,3.265,+,0.247,O7
1,WIJQOY,N6,O3,3.900,-,-0.139,C4
1,WIJQOY,N7,O7,3.393,+,0.147,O2
1,WIJQOY,N8,O3,3.885,-,-0.133,C8
1,WIJQOY,N8,O6,2.905,+,0.330,O5
1,WIMCIH,N1,O3,3.126,+,0.181,O2
1,WIMCIH,N1,O3,3.746,-,-0.179,C4
1,WIMCIH,N1,O3,3.950,-,-0.230,O2
1,WIMCIH,N1,O4,3.718,-,-0.372,O4
1,WIMCIH,N1,O1,2.941,+,0.281,C4
1,WIMCIH,N1,O1,3.757,-,-0.356,O4
1,WIMCIH,N2,O4,3.295,+,0.078,O1
1,WIMCIH,N2,O2,3.135,+,0.090,C2
1,WIMCIH,N2,O2,3.172,+,0.196,O1
1,WINKAI,N2,O1,3.599,+,0.029,O2
1,WINKAI,N4,O3,3.728,+,0.028,C8
1,WINKAI,N2,O2,3.319,+,0.265,O1
1,WINKAI,N4,O4,3.712,+,0.017,C8
1,WINKEM,N2,O1,3.133,+,0.174,O1
