Query,Refcode,LAB1,LAB2,DIST1,LOS,SHIELDING,SHIELD_ATOM
1,CITJAT,N1,O6,3.417,+,0.270,C17
1,CITJAT,N2,O2,3.193,+,0.320,C28
1,CIVPOP,N1,O5,3.472,+,0.394,C1
1,CIVPOP,N4,O1,3.765,-,-0.272,O6
1,CIVPOP,N1,O6,3.552,-,-0.070,O1
1,CIVPOP,N4,O2,3.316,-,-0.027,O5
1,CIWMAZ,N1,O3,3.372,+,0.325,C1
1,CIWMAZ,N1,O1,3.703,+,0.219,O2
1,CIWMAZ,N1,O2,3.976,-,-0.019,O1
1,CIWSEJ,N3,O2,3.373,+,0.108,O3
1,CIWSEJ,N3,O6,3.873,-,-0.289,O3
1,CIWSEJ,N6,O2,3.953,-,-0.368,O7
1,CIWSEJ,N6,O6,3.323,+,0.075,O7
1,CIWSEJ,N3,O3,3.181,+,0.266,O2
1,CIWSEJ,N6,O7,3.175,+,0.199,O6
1,CIWSIN,N3,O1,3.878,-,-0.173,O2
1,CIWSIN,N3,O1D,3.520,-,-0.180,O1
1,CIWSIN,N3,O1D,3.606,-,-0.020,O2
1,CIWSIN,N3,O2D,3.217,+,0.309,O1
1,CIWSIN,N3,O2D,3.593,+,0.205,N3
1,COXGUS01,N2,O1,3.102,+,0.302,O8
1,DIMNAN02,N1,O1,3.961,+,0.159,O2
1,DIMNAN02,N1,O2,3.590,+,0.253,C1
1,DIMNAN03,N1,O1,3.954,+,0.166,O2
1,DIMNAN03,N1,O2,3.592,+,0.248,C3
1,DIMNAN04,N2,O1,3.614,+,0.253,C3
1,DIMNAN04,N2,O2,3.963,+,0.177,O1
1,DIMNAN05,N2,O1,3.619,+,0.258,C4
1,DIMNAN05,N2,O2,3.961,+,0.172,O1
1,DINPIC01,N2,O2,3.827,-,-0.029,O5
1,DINPIC01,N3,O4,3.480,+,0.206,C6
1,DINPIC01,N1,O5,3.795,+,0.061,C2
1,DINPOI,N1,O6,3.555,+,0.226,C2
1,DINPOI,N1,O6,3.870,+,0.026,N3
1,DINPOI,N1,O7,3.662,+,0.188,N3
1,DINPOI,N2,O7,3.700,+,0.174,C4
1,DINPOI,N3,O3,3.910,-,-0.023,N1
1,DINXUW,N2,O2,3.977,+,0.086,O3
1,DINXUW,N4,O7,3.593,+,0.234,O6
1,DIPHUI,N4,O1,3.261,+,0.363,C3
1,DIPNIC,N2,O1,3.484,+,0.049,O3
1,DIPNIC,N5,O4,3.486,+,0.039,O6
1,DIPNOI,N1,O2,3.593,-,-0.009,O4
1,FAKVUI01,N3,O3,3.969,-,-0.556,O2
1,FIRYEN,N1,O3,3.288,+,0.276,C4
1,FIRYEN,N2,O7,3.300,+,0.360,C25
1,FIRYIR,N1,O2,3.284,+,0.274,C6
1,FIRYIR,N2,O6,3.289,+,0.358,C33
1,FISJUP,N2,O5,3.808,+,0.088,C9
1,FISJUP,N2,O6,3.382,-,-0.118,O3
1,FISJUP,N4,O3,3.419,-,-0.152,O6
1,FIVHOK,N1,O5,3.831,+,0.025,O2
1,FIVHOK,N1,O2,3.709,-,-0.129,C1
1,FIVHUQ,N5,O12,3.840,+,0.149,C18
1,FIVHUQ,N5,O16,3.097,+,0.232,C7
1,FIVHUQ,N1,O20,2.856,+,0.207,O1
1,FIVHUQ,N9,O21,3.633,-,-0.215,C13
1,FIVHUQ,N13,O9,3.331,-,-0.082,O13
1,FIVHUQ,N5,O1,3.326,-,-0.175,O6
1,FIVHUQ,N9,O13,3.121,+,0.095,O9
1,FIVHUQ,N1,O6,3.726,-,-0.597,O1
1,FIVHUQ,N13,O10,3.810,-,-0.058,O14
1,FIVHUQ,N9,O14,3.886,-,-0.275,C13
1,FIVJAY,N1,O4,3.202,+,0.262,C1
1,FIVJAY,N5,O24,3.733,+,0.099,O5
1,FIVJAY,N9,O20,3.251,+,0.247,C13
1,FIVJAY,N1,O5,3.171,+,0.214,O1
1,FIVJAY,N13,O9,3.098,+,0.306,O13
1,FIVJAY,N5,O1,3.086,+,0.283,O5
1,FIVJAY,N9,O13,3.050,+,0.325,C13
1,FIWHEB,N2,O3,2.958,+,0.279,C6
1,FIWHEB,N2,O3,3.996,-,-0.889,O6
1,FIWLEF,N1,O1,3.937,-,-0.107,C3
1,FIWLEF,N1,O6,3.826,+,0.004,O2
1,FIWLEF,N2,O7,3.756,-,-0.094,O3
1,FIWLEF,N4,O3,3.616,+,0.029,O7
1,FIWLEF,N2,O4,3.953,+,0.082,O3
1,FIWLEF,N4,O8,3.968,-,-0.072,O7
1,FIWLIJ,N1,O1,3.392,+,0.094,C4
1,FIXSIR,N3,O6,3.887,-,-0.170,C1
1,FIXSIR,N3,O7,3.262,+,0.336,O1
1,FIXSIR,N3,O2,3.391,-,-0.007,O1
1,FIXSIR,N3,O4,3.213,+,0.085,O3
1,FIXSIR,N3,O5,3.962,-,-0.232,O3
1,FIXSIR,N5,O1,3.427,+,0.043,O4
1,FIXSIR,N5,O7,3.993,-,-0.618,O4
1,FIXSIR,N5,O8,3.953,+,0.059,O4
1,FIXSIR,N5,O3,3.649,-,-0.323,O4
1,FIXSIR,N5,O4,3.869,-,-0.472,O7
1,FIXSIR,N1,O1,3.985,-,-0.623,O2
1,FIXSIR,N1,O2,3.822,-,-0.710,O2
1,FIXSIR,N1,O3,3.797,-,-0.745,O5
1,FIXSIR,N1,O3,3.814,-,-0.101,O5
1,FIXSIR,N2,O7,3.896,+,0.133,O8
1,FIXSIR,N2,O3,3.262,+,0.239,O6
1,FIYSUE,N5,O2A,3.286,+,0.171,O5
1,FIYSUE,N5,O2A,3.864,-,-0.182,C4
1,FIYSUE,N5,O6,3.853,-,-0.261,C13
