Query, Refcode,LAB1  ,LAB2  ,DIST1 
1,FIVHUQ,N9,O21,3.633
1,FIVHUQ,N13,O9,3.331
1,FIVHUQ,N5,O1,3.326
1,FIVHUQ,N9,O13,3.121
1,FIVHUQ,N1,O6,3.726
1,FIVHUQ,N13,O10,3.810
1,FIVHUQ,N9,O14,3.886
1,FIVJAY,N1,O4,3.202
1,FIVJAY,N5,O24,3.733
1,FIVJAY,N9,O20,3.251
1,FIVJAY,N1,O5,3.171
1,FIVJAY,N13,O9,3.098
1,FIVJAY,N5,O1,3.086
1,FIVJAY,N9,O13,3.050
1,FIWHEB,N2,O3,2.958
1,FIWHEB,N2,O3,3.996
1,FIWLEF,N1,O1,3.937
1,FIWLEF,N1,O6,3.826
1,FIWLEF,N2,O7,3.756
1,FIWLEF,N4,O3,3.616
1,FIWLEF,N2,O4,3.953
1,FIWLEF,N4,O8,3.968
1,FIWLIJ,N1,O1,3.392
1,FIXSIR,N3,O6,3.887
1,FIXSIR,N3,O7,3.262
1,FIXSIR,N3,O2,3.391
1,FIXSIR,N3,O4,3.213
1,FIXSIR,N3,O5,3.962
1,FIXSIR,N5,O1,3.427
1,FIXSIR,N5,O7,3.993
1,FIXSIR,N5,O8,3.953
1,FIXSIR,N5,O3,3.649
1,FIXSIR,N5,O4,3.869
1,FIXSIR,N1,O1,3.985
1,FIXSIR,N1,O2,3.822
1,FIXSIR,N1,O3,3.797
1,FIXSIR,N1,O3,3.814
1,FIXSIR,N2,O7,3.896
1,FIXSIR,N2,O3,3.262
1,FIYSUE,N5,O2A,3.286
1,FIYSUE,N5,O2A,3.864
1,FIYSUE,N5,O6,3.853
1,FIYSUE,N4,O4,3.316
1,FIYSUE,N4,O6,3.402
1,FIYSUE,N6,O1,3.647
1,FIYSUE,N6,O1,3.919
1,FIYSUE,N6,O4,3.768
1,FIYTAL,N2,O6,3.837
1,FIYTAL,N2,O4,3.506
1,FIYTAL,N2,O5,3.645
1,FIYTEP,N2,O1,3.539
1,FIYTEP,N2,O2,3.101
1,FIYTEP,N2,O6,3.851
1,FIYTEP,N1,O1,3.360
1,FIYTEP,N3,O8,3.328
1,FIYTEP,N3,O2,3.758
1,FIYWAO,N2,O1,3.763
1,FIYWAO,N2,O4,3.678
1,FIYWAO,N2,O6,3.849
1,FIYWAO,N2,O7,3.376
1,FIYWAO,N3,O1,3.130
1,FIYWAO,N3,O3,3.935
1,FIYWAO,N3,O4,3.618
1,FIYWAO,N3,O5,3.972
1,FIYWAO,N1,O3,3.022
1,FIYWAO,N1,O7,3.499
1,FIYWAO,N1,O7,3.840
1,FIYWAO,N1,O8,3.694
1,FIYWAO,N1,O8,3.697
